id	name	canonical_uuid	canonical	surrogate
00004687-4ebd-528e-ab92-3d112d0cbbc5	Mammillaria heyderi var. meiacantha (Engelm.) L.D.Benson	f8589585-1c5a-582b-8470-8e1af58eb655	Mammillaria heyderi meiacantha	false
00004747-ab04-5ddb-9ed3-a65daa6252c6	Cirsium maackii fo. koreiense (Nakai) Nakai	dd8091d9-a81c-59a0-a7d3-5aa6b46dad72	Cirsium maackii koreiense	false
00004859-aa52-5c43-803d-5631f61637db	Alcyonium rubistella	00004859-aa52-5c43-803d-5631f61637db	Alcyonium rubistella	false
00004876-5d4b-54ca-af04-381816d17a84	Leproscirtus granulosus subsp. granulosus	a0401a9d-f353-5038-b196-d8528845f036	Leproscirtus granulosus granulosus	false
000048e5-abe9-599c-83e9-de283654ad2f	Prasinocyma iseres Turner 1922	b3c42e41-10b1-5e17-8157-2b4d77a2e9b6	Prasinocyma iseres	false
00004971-f9aa-50d7-8516-4e039c5a2e11	Neoallocotocera longicauda (Tonnoir & Edwards, 1927)	dd7a13ce-a346-559a-8006-207fad564080	Neoallocotocera longicauda	false
00004ed3-7f75-5a69-8fbf-330982ae3037	Rhinoncus sparsesetosus Gyllenhal , 1837	300ea922-4506-534d-bc00-2b2c0a29a339	Rhinoncus sparsesetosus	false
00004f96-87a8-5c17-8063-51e622371873	Ficus bambusifolia	00004f96-87a8-5c17-8063-51e622371873	Ficus bambusifolia	false
00005047-98a7-569f-8dd1-51d95a73455d	Iridana ansorgei Grose-Smith, 1898	9f1a4d84-2ae3-5519-9bc7-afbe291ca032	Iridana ansorgei	false
00005237-6a5f-560f-afd1-1c9ba87e12d9	Puccinia subglobosa Dietel & Holw., 1901	8655eec8-a632-5710-a995-46298acdf2c1	Puccinia subglobosa	false
0000529d-2608-5730-9466-cf978b53417c	Neoapocreadium gerridis	0000529d-2608-5730-9466-cf978b53417c	Neoapocreadium gerridis	false
000052d6-0cb9-51c5-8453-2f845656956f	Rhododendron polyraphidoideum var. montanum P.C.Tam	7b30b92f-12da-54e2-8216-217469526cfe	Rhododendron polyraphidoideum montanum	false
00005667-cb1c-590a-acd4-0a7c3e1755a6	Gondolella behnkeni	00005667-cb1c-590a-acd4-0a7c3e1755a6	Gondolella behnkeni	false
00005775-d960-59ed-9a14-517ccd4015e2	Ocnaea grossa Osten Sacken 1887	bf5a20c1-b867-51d4-a429-5685d9c1695c	Ocnaea grossa	false
00005946-85bd-5355-a260-490fc1b331db	Coeliodes trifasciatus Bach, 1854	3d34aef8-d3a8-5e54-bccd-450a0d1fdb40	Coeliodes trifasciatus	false
00005951-530b-52b6-b018-1fa238fe7b87	Olethreutes albitibiana Snell.	3bb370b9-a741-56aa-81a9-939921fc4b0c	Olethreutes albitibiana	false
00005952-2196-54ef-b61a-79e7c5768afa	Anthrax (Hemipenthes) ruficollis Bigot, 1892	15b871eb-1849-54d6-b588-df39ce5fbbbd	Anthrax ruficollis	false
000059ad-6510-555b-bba8-673bd86789e4	Rhytinota gracillima ssp. marginata Gebien,1910	4d0c2c48-5801-53eb-ad29-f273bc5fd1e7	Rhytinota gracillima marginata	false
00005ac0-06d1-5e90-9b50-174c354297f1	Bisaltes (Bisaltes) subreticulatus Monné & Giesbert, 1994	19f30907-77be-5c27-86c4-22049259a1ef	Bisaltes subreticulatus	false
00005b0c-7f50-5c9f-9f88-9f71a82cdf70	Bombyx mioleuca	00005b0c-7f50-5c9f-9f88-9f71a82cdf70	Bombyx mioleuca	false
00005b49-2d86-5937-81b6-c5b8e5715e44	Coriolopsis strumosa var. strumosa (Fr.) Ryvarden	f8e96102-7829-5dc3-9f4d-e82627c7df0b	Coriolopsis strumosa strumosa	false
00005bb8-90b5-51f7-92fd-18590a0149a5	Malthodes minoicus Wittmer 1971	3937d6b4-03bd-5d95-8bcf-490cbdd943d1	Malthodes minoicus	false
00005c3e-70ce-57a5-9c44-f0fa27b1a509	Odontopera arida (Butler)	74a46718-57c8-59d6-b025-315e8d4207a8	Odontopera arida	false
00005cee-6a5b-5921-b853-68bdd0896656	Flavobacteria bacterium SC2	c3be65c7-57d2-53ea-8d81-4882512f82bd	Flavobacteria bacterium	false
00005e37-0614-5cc4-8fd7-72587914e0e5	Malacoptila substriata	00005e37-0614-5cc4-8fd7-72587914e0e5	Malacoptila substriata	false
00005e37-86eb-57f7-aff6-51cac18dd920	Polymera (Polymera) aitkeni Alexander, 1978	d64ecd57-6547-51d7-9b7a-606e7801fe89	Polymera aitkeni	false
00005e95-ea77-57c0-8e8c-76d03f829034	Asteropyge gdoumontensis Asselberghs	b5b69bd7-e5e8-53ce-bb37-c45a1f91c51b	Asteropyge gdoumontensis	false
00005f42-591a-5f01-a04d-dbbdf27e069c	Lomanoxoides nigrolineatus Hinton, 1938	8f50b848-a63b-5fcd-bc62-f4321535e093	Lomanoxoides nigrolineatus	false
00005fce-09a5-57ea-a997-28f969c54edd	Assuania tuberifer Becker, 1912	309c2246-b2f3-567a-a084-38674d30dcf4	Assuania tuberifer	false
